Race,Household Income pct <10000,Household Income pct  10000 to 19999,Household Income pct 20000 to 29999,Household Income pct 30000 to 39999,Household Income pct 40000 to 49999
white,3.0757,3.1731,4.5041,5.1895,6.2552
black,6.6612,7.3996,12.7083,14.2596,9.5425
